ETC_20150323_009652	#今結界を発動します。
ITEM_20151022_007324	#取り外しが可能な武器に魔法を付与することは困難である。また、チャンナルとシルズ、どちらに悪魔を相手にする魔力が付与されているかどうか、一般人は分かりにくいです。
ITEM_20151022_007325	#このウィンドウには、隠された形でワラビのとうを象徴する魔力模様アルコールKoruが隠されています。とうは古くから信仰的に大きな意味を持った象徴でした。
ITEM_20151022_007326	#たとえ野獣たちに、より強力な被害を与えたと言っても狩猟用にこの武器を推薦することはよくありません。本市狩猟と武器ではなく、わなや落とし穴に依存しているほうが安全です。
ITEM_20151022_007327	#この武器を完全に使用するいくつかの人々は遠くから投げモンスターの体に衝突させた後、再度取り外し攻撃することができるとします。ただしある者はそのような戦闘方式は、実際には効果がない憂鬱と指摘するとします。
ITEM_20151022_007328	#残念ながら、恵山偏りスフィアの製造法の一部は、本番された状態です。ただし、他の兵器を参照して正確に知らない材料を他のものと置き換えて入れたにも関わら期待していた効果はされます。問題は、それが果たしてプラグはず初めて思ったその材料がか否か分からないという点です。
ITEM_20151022_007329	#この武器の創案者がどのような事情に正体を隠して務めるという名前の後ろに隠れ件、この武器がモンスター狩りに大きな助けになるという点は確かです。
ITEM_20151022_007330	#巡礼を妨害する魔族も問題だが獣も巡礼の障害物ではある同様です。ウィンドウは、その両者に強い武器でありながら投影武器ではなく、お手入れが少ないながら杖でも使用可能に選択されたりしました。
ITEM_20151022_007331	#一説によると、ストラスフィアは、他のデバイステトラ武器とは異なり、いくつかのラウンドがすでに存在し、そこから他のデバイステトラ武器が発明されている始まりそうです。
ITEM_20151022_007332	#突進する変異型モンスターを相手にすることができるように強い耐久力を持ちよう作られました。
ITEM_20151022_007333	#昆虫が突撃してくる場合、時には、その方向が空気の仕事もあります。したがって、この武器のユーザーは、空中で襲撃する昆虫型モンスターにも備える必要があります。
ITEM_20151022_007334	#クラッグ武器のルクルリース起源説を主張する人たちの最大の弱点は、この武器が彼の反逆前に作られたなら名前がこのようにつくわけがなく、反逆した後であれば、窓の時間がないという点を説明することはできないということです。
ITEM_20151022_007335	#巡礼に参加する人々の構成が非常に多様であることを如実に示して武器です。旅の荷物がされていることを恐れていない人であれば選択しても良い武器です。
ITEM_20151022_007336	#ストラパイクはストライスフィアで発見した方式を適用して作成された最初のストライ武器と呼ばれます。
ITEM_20151022_007337	#テネト大聖堂を起源とする無垢がすべて同じ時期に創案されていません。スタッフは、その単純さに比べれば遅く作られ、これは材料に依存する馬力の期間が一定時間維持されるようにしようとする努力が成功したとき完成しました。
ITEM_20151022_007338	#植物が爆発的に成長し始めた時から急激な成長で既に死が内在していました。急速な成長のために消費されただけの生命力が死を早めると、ワラビから得られた魔力は、植物にそのような効果を返します。
ITEM_20151022_007339	#矛盾したことだが、この装置に獣に対抗する力を入れることに最も助けた人々は、神獣の日前に、最も動物を大切に仕事の人々です。
ITEM_20151022_007340	#変異型モンスターに抵抗する魔法付与は、思ったよりも困難なプロセスです。神獣の日のものが変化する傾向を押す一方、無機としては魔力をよく受け入れるためです。
ITEM_20151022_007341	#一説によると、アーガイルとプラグリーガ昆虫型モンスターを敵対する武器を作る考えをしたのは、ただ今のところ、それ気にした人がいなかったためだという主張もあります。
ITEM_20151022_007342	#ルクルレス起源説を主張する人々は理由ですともかくルーリース当時の反逆者であると宣言されたので、彼の名前が隠されて、このような名前がついたとします。しかし、そのような人々も、よりによって務めるという名前がついた理由は説明できません。
ITEM_20151022_007343	#女神の皆様人間と一緒にしてきた長い時間の間、王国のあちこちには、女神の業績と事情が込められた場所が少なくなります。これらの場所を巡礼する人が生じて彼らの旅を安全にしようとする方策が模索されていることは非常に自然なことです。
ITEM_20151022_007344	#ある人は、変異型モンスターが自然の道理を逆らうためイーステトラ武器からより多くのダメージを受けると思います。
ITEM_20151022_007346	#練習用リボルバー
ITEM_20151022_007347	#ストーラー武器が再照明され、現在のデータベーストラ地域のいくつかの学者によって、まったく新しい形の武器が創案されたりしました。この武器はその代表的な例です。
ITEM_20151022_007348	#エペ
ITEM_20151022_007349	#練習用レイピア
ITEM_20151022_007350	#アストンレイピア
ITEM_20151022_007351	#シャープレイピア
ITEM_20151022_007352	#デュエリスト
ITEM_20151022_007353	# - すべてのフェンサースキルレベル+1
ITEM_20151022_007354	#ベニーエル
ITEM_20151022_007356	#昔どの時期にした女神が、他の女神をグォンハヨいくつかのものを作成しました。これ参加した女神は、通常、同僚の誘いに遊戯として参加したが、この日を主導した女神の意図は、世の中に女神の神聖力が込められたものを残して置いて後世に役立つ可能性を開いておきたいという意図でした。その結果の一つが、まさにこの手袋です。
ITEM_20151022_007357	#ずいぶん前な場所で複数の女神たちが集まって遊戯三神聖力が込められたものを作成しました。その場所を別名女神のイェトトゥルというが、正確な事実は分かりにくいです。どうか当時作られたものは、これらの靴のように、まだ世の中に残って、その価値を証明しています。
ITEM_20151022_007358	#たとえ女神方心血を注いで作られていない場合でも、これらのものがあり、女神の力が間接的に世界の敵に向かって使用されているという事実自体が重要な意味を持ちます。
ITEM_20151022_007359	#ずっと前に女神のイェトトゥル呼ばれる場所で女神たちが遊戯として神秘的なものを作成したとき何人かのものは、従来の製品にあなたのDPを重ね塗ら方法で作成された。この服が、そのような事例に対応します。
ITEM_20151022_007360	#この手袋が作られた場所、すなわち、過去に女神方集まって、複数のものを造ら女神のイェトトゥルという場所が、現在のような地名を持つ場所を指すのかは不明です。しかし、場所だいずれにせよ、この手袋が最初に作成場所は、その庭が明らかにしています。
ITEM_20151022_007361	#オッグ望む名前を持つ機器が伝わる別のレシピが別に存在しないという点がこのようなものの起源が女神にあるもう一つの間接的な証拠である。
ITEM_20151022_007362	#様々な説が存在するが、女神たちを呼び集め、oggのバーの機器を作成する提案の最初の女神は、ラ額女神と説最も有力です。
ITEM_20151022_007363	#オグバー機器が女神たちによって作られたという女神のイェトトゥルが果たして現在の特定の場所であることをまたそれがどのくらい前に生じたことかはわかりません。ちょうど人間が歴史を記録してい前に行われた日との説が有力です。
ITEM_20151022_007364	#何人かの人々は、oggのバー機器が女神の神聖力によって完成品で作られただけのどこかには、極度の神聖力が込められた絶対的な威力を持った機器があると信じて、それを見いだそうとしました。もちろん、そのような努力はすべて失敗し、単純な噂にでも、そのようなものがあるか知ることができませんでした。ただし、この手袋のように、その前には知られていない機器を見つけるの成果はありました。
ITEM_20151022_007365	#昔の女神のイェトトゥルである女神がどんなものにいくつかの力を吹き入れたのか、現在の私たちは知ることができません。しかし、推測は可能です。この靴は、おそらく第ミナ女神の神聖が追加かだろうかと思います。
ITEM_20151022_007366	#文句多くのいくつかの人々は女神方が機器に力を込めれる時、他のものよりも耐久性に力をいただければよかったと不平をゴリプニダ。
ITEM_20151022_007367	#いくつかの経緯とパスを経て、Oggバー機器が世の中に広がって明らかにされたことがわかりません。そのような履歴を格納するには非常に長い年月が流れました。
ITEM_20151022_007368	#神獣の日が発生して以来、植物を利用して植物を制御しようとする試みが続いてきました。そのような試みの中で成功した事例を装備に適用したのが、この種の防具です。
ITEM_20151022_007369	#神獣の日以後シダが自分自身を保護する物質を分泌する行為をしない法的に武器に適用することは難しいことです。このような努力が成功を収めたという点で女神に感謝をささげします。
ITEM_20151022_007370	#魔法装置を作る方法は2つに分かれています。初期製造時からレシピに基づいて作成する方法と、既に作成された一般的な機器に魔法を付与する方式です。もちろん、この装置の場合は、後者です。
ITEM_20151022_007371	#神獣の日以降、爆発的に成長したワラビから引き出した馬力は、通常、攻撃的な装置に適用することやすかった。防具に適用され、効果が変わったり弱くなった事例があり、この衣服がそのような場合です。
ITEM_20151022_007372	#この手袋を製造するための特別な時間に誰も見ていないところでワラビが咲く瞬間を待っているの努力が求められます。これらの忍耐と集中力は、この防具は着用者に精度を向上させる結果に応えます。
ITEM_20151022_007373	#神獣の日以前のワラビの発火を見守る意識は願い成就や幸運のための慣習的に思われたが、神獣の日以降、人間のすべての人生は前とは全く違う姿で変わり、今はこのような防具に魔法を付与する手段となりました。
ITEM_20151022_007374	#一部の人々は女神方、すでに長い時間前にワラビの神秘的な力を隠して二喋る、それによって神獣の日以前のシダ観察意識と後にその力を装備に適用することが可能だったと思います。古い習慣であることを考えると、これまでいくつかの神学者や司祭もが秘密な慣習について深く研究したことはないわけです。
ITEM_20151022_007375	#この服は隠された形でワラビのとうを象徴する魔力模様アルコールKoruが隠されています。とうは古くから信仰的に大きな意味を持った象徴でした。
ITEM_20151022_007376	#この手袋を構成する個々の環は、ワラビのとうが象徴するマタイ法的力を適用受けて作成された。神獣の日がインポートされた植物の異常現象がいつか消えたら、これらの魔力が込められた物品は、その時はなかっかもしれません。
ITEM_20151022_007377	#神獣の日以降爆発的に成長したすべての植物は、生命力と元気を吸収する能力を大なり小なり持たせました。これらの能力を装備に適用して大地から元気を得て出すようにすることは非常に難しい魔法付与です。
ITEM_20151022_007378	#ワラビの特徴で引き抜く馬力で止揚成果嫌光性のガウンにどちらか一方の性質を持たせることができます。しかし、コストと実用性を考慮して、暗闇の抵抗するように作られ、その逆作ることは理論上可能にしても、実際に製作されていません。
ITEM_20151022_007379	#ティルトルビーマスターテスラが、以前に王国のあちこちを通っていた時期がありました。いくつかの魔法装置は、そんな彼の行跡に関連付けられている話を持っている場合があります。木彫りの司祭であるテスラがどのようにこの手袋の製造に影響を及ぼしれる定かでないが、このような伝説は人々によく受け入れられます。
ITEM_20151022_007380	#テスラは、過去にシールド・ゲラーの森を通るとき可視に足を刺さ日で、この靴が作られたという伝説があります。その時代にもトゲが緑豊かな場所だったのかテスラが本当にそのようなことを経験した後、このような装置を作ったのかは重要なことではありません。たとえテスラ本人がまだ生きているが、それを聞いて見に行った人もいませんでした。
ITEM_20151022_007381	#シールド・ゲラー装置は多くの伝説との事情が込められています。いくつかの伝説によると、このパンツは、いばらから選んだ糸で布を絞って作ったとします。その伝説の事実かどうかにかかわらず、一人寂しく森の中で棘の糸を紡ぐ少女の形状が好きな人は多いです。
ITEM_20151022_007382	#魔法物品についた理由を好きな人は、テスラが平凡彫刻家で司祭を兼ねるとしたときの記念に、このローブを製作したそうです。シールド・ゲラー機器に神秘的な事情を付け道が好きな人の心理は、研究に値する課題です。
ITEM_20151022_007383	#シールド・ゲラー装置に他のいくつかの魔法の装置よりも多彩神秘的な事情がつく理由は、とげの森林と特有の環境が影響を及ぼしていると思います。もしそうなら、このような伝説的な話の起源は神獣の日以後という言葉になるので、すべて根拠のない話になってしまうが言葉です。
ITEM_20151022_007384	#伝説によると、以前にシールド・ゲラーあるいはその近くで行方不明になった兵士たちが多かった、それらを見つける親戚によってこの靴が作られたそうです。
ITEM_20151022_007385	#以前からシールド・ゲラーの森に出没していた獣を狩り、その革を活用する方法が発達して、この服の起源になったとします。
ITEM_20151022_007386	#古くシールド・ゲラーが神獣の日モンスターが多くなる前に多くの獣が存在したとします。この手袋は、その頃から存在したします。
ITEM_20151022_007387	#あまりにも多くの伝承と起源に関する説様々なシールド・ゲラー機器なので、これも説であるが、この靴は堅い森をよく動かすために古くから伝統的にシールド・ゲラー地方で作られてきたそうです。
ITEM_20151022_007388	#現在も過去も地名とは無関係な気候に必要な魔法の属性が装備に付与された理由は、これが古く、他の環境で製造された伝承の根拠となります。
ITEM_20151022_007389	#フィリスグローブは神獣の日以前には、今よりも馬力が高い機器であったとします。神獣の日に3中性壁が崩壊した後に、この装置に付与された魔法が弱くなった理由は、知られていアンアトた。
ITEM_20151022_007390	#フィリス防具は密閉された環境で、着用者に快適さを提供する特性があります。
ITEM_20151022_007391	#3中性壁ガードの征服だったこの装置は、軍首脳部だけが知っている秘密の理由の特別な魔法付与が行われました。しかし、現在の3中性壁の高位指揮官がすべて死亡した状態であるため、その理由を知っているの賭難しいようです。
ITEM_20151022_007392	#3中性壁ガードの正規の服は、必要に応じて様々な形態が製造されました。この手袋の場合には、予想可能な、一般的な座り込み前を備えた装置です。
ITEM_20151022_007393	#3中性壁ガードの正規の服は、必要に応じて様々な形態が製造されました。この靴の場合には、予想可能な、一般的な座り込み前を備えた装置です。
ITEM_20151022_007394	#この装置は、他のフィリスの装置とは異なり、神獣の日以前には存在しませんでした。最近の必要性によって、既存の機器の新しい魔法属性を付与したものです。
ITEM_20151022_007395	#王国の初期には、3中性壁の最も外城の兵士にのみ支給されました。外城が占領された状況を想定したとき役立つと思ったからです。時間が経つにつれ、座り込み前の戦術と武器の変化が生じてだんだんこの装置は、三重の城壁全域に普及しました。
ITEM_20151022_007396	#3の壁をはじめ、砦を守る兵士たちに最も役立つ魔法の属性が付与された装置です。長年、多くの城砦の守備兵が好む機器に存在してきました。
ITEM_20151022_007397	#砦の守備兵、特に三重の城壁の守備兵のうち、化学工業を担当する兵士たちに支給される装備でした。神獣の日に、今は、肺にもなった中心部で暴走する草木を城壁の化学担当の兵士たちが防ぐこともあった仮説は、今も提起されている興味ロンヅン仮説です。
ITEM_20151022_007398	#不思議な現象ではあるが、アレルルノー男爵領は、比較的、他の貴族の領地よりもウィザードたちの活動や魔法物品の製造が活発な地域です。このような現象は、神獣の日以後非常に増加し、この手袋もそんな背景の中で示されている。
ITEM_20151022_007399	#昔も今もアレルルノー地方の主な産業は農業であることを考えると、最近、この地域の魔法装置の出現増加は説明するのは難しい不思議な現象です。とにかくおかげで、ここでの戦いをする人は、このような靴を着用することができ、徳を見ています。
ITEM_20151022_007400	#一見考えると、最近アレルルノー男爵領にウィザードがたくさん集まってたので、この服のように、複数の魔法の物品が多く生じたのは、不思議なことではないと思えることがあります。しかし、これは事実と異なり、魔法物品の増加と新たな出現は、何か他の原因を持っています。
ITEM_20151022_007401	#いくつかのウィザードは、ああレルルで地方に新たな魔法の物品が示されたことが魔族の仕業であることを知って降りたが、正確な根拠を見つけられませんでした。しかし、この装置のように闇属性抵抗力を持つ機器で見たときに魔族起源説は根拠が弱いことが大半の意見です。
ITEM_20151022_007402	#表示された理由ですいずれにせよ、アレルルノー男爵領では、これらの機器を積極的に集めて部下たちに支給しています。グタトか、最近アレルルノー男爵領は、住民と兵士の摩擦が大きくなっているとします。
ITEM_20151022_007403	#アレルルノー地方は何でも、外部からの魔法的な影響を受けることは確かです。たとえすごい魔力がつかなかったが、この靴は、その性能と関係なく最初に出現形の魔法付与形式を持ったということは明白です。
ITEM_20151022_007404	#アレルルノー地方に現れた魔法の物品に関するもう一つの奇妙なことは、ここに来たウィザードが見つけることは、そのような魔法の物品がないということです。ともあれ発見された物品は、地域住民や兵士たちによって使用されています。
ITEM_20151022_007405	#アレルルノーの現在の永住は強い防御力を持ったこれらの機器をさらに強化するために、ウィザードと職人を雇用しました。ただし、彼のこのような歩みは、別の目的を隠しているとします。
ITEM_20151022_007406	#アレルルノーの領主は、単に魔法装備を強化するために、ウィザードと職人を雇用していなかった場合、彼は求めている目標魔法装置を出現させた原因と関連されている可能性があります。
ITEM_20151022_007407	#アレルルノー永住は、より耳で強い魔法物品が自分の領地でより出てもらいたい。欲のせいでもあるが、彼の領地で出現した物品を再生産することが容易ではないせいもあります。
ITEM_20151022_007408	#アレルルノー男爵領の現在の永住は、この装置を、より強力な装備にして、彼自身が身に着けてしようとしています。彼はこのような目的のために、ウィザードや職人を雇ったし。
ITEM_20151022_007409	#長年の修行をした聖職者たちの身につけていたもので、DPが宿る事例があります。このような事例が必要なときに発生するようにしようとする試みが成功し、現在のファレルリン手袋が作られるようになりました。
ITEM_20151022_007410	#巡礼の道に役立つ物品を求めにくい貧しい巡礼者の取るに足りないものに女神の神聖力が宿って新しい能力を示している場合があります。ファレルリンと名のついたものがそのような装置を指します。
ITEM_20151022_007411	#いくつかの巡礼者のものにどのような保護力が宿っかかるのか知ることができません。ただし法則性調べなかったとしても、一定の秩序は発見されたりします。そうでなければ、これらのものを総称するファレルリンという名前が出てこなかったでしょう。
ITEM_20151022_007412	#ファレルリン物品を作るための様々な実験が行われます。代表的なのは、神聖力が生じるまでの巡礼者が服を着たまま過ごすことです。結果的にはそのようにすると、DPが宿る確率が高く、地震ませんでした。
ITEM_20151022_007413	#巡礼者が、特定の物品、例えば、このような手袋類を着用して、複数の仕事をするときファレルリン物品がされている場合が多いです。しかし、これも手袋をはめたまま、複数の作業をしてみると、ある瞬間それほどされているもので、正確なレシピとはできません。
ITEM_20151022_007414	#一度巡礼者が巡礼の道を歩いて、彼は持っ物品がファレルリン物品がされたことを知れば、他の人に与えても効果が消えません。自分の着用品がファレルリン物品がされた巡礼者は、引き続きファレルリン物品を作成たりしますが、それはやはり確実に法則性を持たません。
ITEM_20151022_007415	#巡礼者の敬虔な生活が女神の力を事物に宿るようにすれば、より深い能力を持ったものも作ることができないかという質問と、それに伴う試みは、今も続いています。神獣の日以後手に負えなくなった世界の環境を考えると、当然のことです。
ITEM_20151022_007416	#どうして巡礼者ではなく、一箇所に居住している忠実な聖職者たちには、同じ現象が表示されていないことは知ることができません。だからといって全く事例がないこともないので、その不規則性に多くの議論があります。これに対する最も簡明な態度は、すべてのものが女神の意のままにという態度です。
ITEM_20151022_007417	#どのように見れば当然のことだが、このファレルリン手袋はパラディン出身の巡礼者から頻繁に表示されます。
ITEM_20151022_007418	#必ず聖職者の場合にのみ、ファレルリン物品が発生することはありません。ファレルリングリの場合聖職者ではなく、戦士系の信仰者からも発生した事例が往々にしてあります。
ITEM_20151022_007419	#ファレルリン装備類の自然発生の法則性は多分永遠に見つけないかもしれません。しかし、発現された神聖な保護の力は規則性を持っているので、多くの人が法則性を発見しようとする試みをとどまらずいます。
ITEM_20151022_007420	#伝説によると、最初にこのファレルリン装置を得た者は、招待パラディンマスターだったそうです。テネト大聖堂では、このような些細な伝承説を確認してないので定かではありません。
ITEM_20151022_007421	#アーガイルとプラグリー事後現在まで、魔術師の塔では、複数のウィザードがさまざまな理由多くの魔法の物品を作成しました。その中でいくつかは、現在までに使用されているが、ほとんどの創案者は匿名で残りました。ターン機器は、これらの物品についた通称です。
ITEM_20151022_007422	#ターン装置は、魔術師の塔を起源とするという共通点以外は作られた時代と人には共通点がありません。ただフルーリ以降の時代に塔から出てきた機器を通称する名前が必要たので、この名前が使用されています。
ITEM_20151022_007423	#いくつかのターンの機器は、その機器が持つ効果の類似性のために、同じウィザードによって作成されたと推測されます。まるでターンパンツとターンローブのようなのです。しかし、全く別の時代の他の人物の結果が偶然に同じ可能性を排除することはできません。
ITEM_20151022_007424	#フルーリ以降、魔術師の塔のウィザードは、世界と自分の隔離されて、自分たちだけの実験と研究に没頭した時期がありました。この時期に複数のとんでもない発明があったが、世の中に残ったのはそれさえも、実用的なこのようなターングローブです。
ITEM_20151022_007425	#伝える言葉によれば、初期にはターン装置のよりすばらしい威力を持ったものもあったし。しかし、世の中に流出されることを気にしたウィザードが秘密を守ったせいで、実物に伝えたり、レシピが残ってはありません。今残っ装置は、通常、この靴レベルの魔力を持っています。
ITEM_20151022_007426	#ターン機器は、ウィザードベースでは、日常の必要によって作成された場合が多い。ターンレザーパンツは、雷を使用する実験では、ウィザードを保護するためにその場で作成ジゴンしたそうです。
ITEM_20151022_007427	#ターン機器は、ウィザードベースでは、日常の必要によって作成された場合が多い。ターンレザーチュニックは、雷を使用する実験では、ウィザードを保護するためにその場で作成ジゴンしたそうです。
ITEM_20151022_007428	#いくつかのターン装置は、魔術師の塔を離れ、世界で使用され、強化されたり、アプリケーションました。この手袋が、そのような改善が適用された最初の事例だと言われています。
ITEM_20151022_007429	#フルーリ死後どの時期のウィザードは、金属で実験をたくさんして、金属の機器は、作成されていません。したがって、現在の金属製ターン装置は、起源は、ウィザードにあっても、実質的な創案者は、魔術師の塔外部の無名の貢献壺たちによって完成されたものです。
ITEM_20151022_007430	#他の金属製のターンの装置とは異なり、ターンプレートレギンスは、ウィザードたちによって作られて使用されました。ウィザードが飛行をしようとするときに使用されたとします。
ITEM_20151022_007431	#フルーリ死後数十年ウィザードは、金属で多くの実験をしたので、材料が不足して金属の機器は、作成されていません。したがって、現在の金属製ターン装置は、起源は、ウィザードにあっても、実質的な製造業者は、魔術師の塔外部の無名の人々です。
ITEM_20151022_007432	#ドルイドマスターはシャトゥン地方出身で神獣の日以後、この地域の安全のために努力しており、複数の機器を提供したり、製造することができるように助けた。ただし、戦闘をしていない農民であっても、この手袋の助けを受けた事例がたくさんあります。
ITEM_20151022_007433	#単純な愛郷心だけではなく、彼女が推進する自然復元計画にも関連があるので、ドルイドマスターは、いくつかの弟子をシャトゥンに送信さまざまな仕事をしています。この弟子たちの危険にさらされないように準備した、いくつかの簡単な魔法の装置は、地元の人たちも応じて使用しています。
ITEM_20151022_007434	#ドルイドマスターはシャトゥンの地元の人々が、彼女が提供した魔法装置に沿って使用することに制約を置かれていない。したがって近傍の住民や開拓者たちが使用されたし。特に、このパンツのようにね。
ITEM_20151022_007435	#神獣の日以後、各地方に出没するモンスターに苦しむ人々は容易に得ることができる魔法の防具を必要とします。それにもいくつかの都合上、このようなサポートは、よく行われていません。モンスターと一線で戦う兵士たちも求められない時があるくらいです。ドルイドマスターが彼女の力と財源をシャトゥン地方のために使用することはそのような面で、小さいながらも貴重なことだとすることができます。
ITEM_20151022_007436	#ぜひモンスターと戦う人でなくてもシャトゥン装置は、この地域の人々の生業に様々な利便性を提供します。農家や木こりとしても、精度の増加が必要なくはないからです。
ITEM_20151022_007437	#シャトゥン地方の開拓民の中には、この装置を持ったまま消えたりしました。彼ら物のみ得逃げたのかモンスターに害を身に着けて失われたのかは定かではありません。おそらく両者とも日だと思います。それでも靴を得た者の中でそのような人が多いのはどのような可能性を示唆します。
ITEM_20151022_007438	#この服が支給された後、シャトゥン地方の開拓者が先駆的な仕事中にやけどを率が大幅に減少しました。
ITEM_20151022_007439	#ドルイドマスターはシャトゥン地方の貴族にも彼女の助けを惜しみなくました。おかげでシャトゥンの貴族は、モンスターと戦闘時に生存率を向上させることができた。
ITEM_20151022_007440	#何人かの人は、ドルイド、マスターがシャトゥン地方の貴族たちに魔法の物品を提供しながら、何の制約をかけていないことは、むしろ毒として作用するかどうかわからない懸念します。このレギンスのように金属製の提供する必要がないということです。だからといってても、問題は、機器ではなく、最終的にそれを使用する人が線用かどうかを悪用していることの重要な問題です。
ITEM_20151022_007441	#ある人はドルイドマスターの好意を悪用する人であってもモンスターから人間が保護されることは、何よりも重要だと考えています。そのような人は、ドルイド、マスターが、このような金属製甲冑を提供したことを非常に賞賛します。
ITEM_20151022_007442	#ティラ修道院は歴史的な信仰施設に多くの人々が修道院側に様々な寄付をしてきました。そのような寄付がティラ修道院特有の魔法装備が出現するベースになりました。
ITEM_20151022_007443	#ティラ修道院機器の中には、最初のドナーの許諾の下に改良されました。修道院は、これらの機器を独占していなかったため、多くの人々が恩恵を受けることができました。
ITEM_20151022_007444	#ティラ修道院に寄贈された財産と魔法の装置をベースに作られた装置は、結果的に地域がとげの森に変わったとき、人々に大きな助けとなりました。もちろん、最大の利益を見た人は、修道院の捜査です。
ITEM_20151022_007445	#ティラ修道院に有毒寄贈と寄付が多かったのは、この修道院が以前から複数の罪を犯した人に寛大だったからです。修道院の伝統に基づいてティラ修道院は信仰的罪人かどうかの王国の法律の違反者も罰はなく、教化に焦点を置いて静かに約てきました。
ITEM_20151022_007446	#所属の修道士に厳格で部外者に寛大なティラ修道院の信条のおかげで、ティラ修道院は初心を忘れていない状態で、長年聖職者たちの厳しい自給自足の信仰共同体の役割を果たしてきました。したがっていくつかの地域で観察されている類似の事例のように、ここでも何人かの魔法装置は、戦闘用ではなく、日常的な作業に使用されたりしました。この装置は、その代表的な例です。
ITEM_20151022_007447	#神獣の日以前には、女神と対面することが困難でませんでした。それでも数値を知っている罪人はティラ修道院が女神とそれらの間の窓口となることをバー分けた、これにより、感化された多くの人々が修道院の側面に誠意を寄付して、現在のティラ修道院機器の基盤を作成しました。
ITEM_20151022_007448	#ティラ修道院の位置に応じた気候のため何の助けになるようではない魔法装備も神獣の日以後は、この地域でも必要になりました。この装置は、そのような場合です。
ITEM_20151022_007449	#ティラ修道院の長いドナー名簿には、王室も含まれます。修道院側王室が下賜した魔法の物品もの人々に有益であれば配布に躊躇しなくて良い金属製の魔法の装置を多くの人が身に着けることができました。
ITEM_20151022_007450	#過去に王室がティラ修道院に魔法装備を授けたとき、特別な条件を置いていないので、ティラ修道院はいくつかの魔法装置であっても、世界で有用な使われたら配布にケチはありません。おかげで、以前から多くの人々がこの靴の助けを得ることができました。
ITEM_20151022_007451	#ティラ修道院近くの一帯が神獣の日以後とげの森林が盛んながら、この装置の重要性が大きくなりました。
ITEM_20151022_007452	#本来は、この装置に付いた魔法力は、他の種類だったとします。神獣の日以後暴走して成長したとげの森のために、他の属性の魔法が付与されたし。
ITEM_20151022_007453	#この衣装は、過去千年間、ほぼ変わらず続く伝統外観に固執します。
ITEM_20151022_007454	#フェンサーコスチューム
ITEM_20151022_007455	#キャッシュノニ語コスチューム
ITEM_20151022_007456	#クナイ
ITEM_20151022_007457	#火炎放射器
ITEM_20151022_007458	#破片だけ
ITEM_20151022_007459	#遺体の破片が+30増加します。ネクロマンサーマスターから購入することができます。右クリックで使用します。
ITEM_20151022_007460	#経験値ブースター
ITEM_20151022_007461	#キャラクターのレベルを170レベルに上昇させます。右クリックで使用します。
ITEM_20151022_007462	#2ランクのカード
ITEM_20151022_007463	#キャラクターのクラスレベルを1ランクのクラスレベルを15に上昇させます。 1ランクのときのみ使用可能です。右クリックで使用します。
ITEM_20151022_007464	#3ランクのカード
ITEM_20151022_007465	#キャラクターのクラスレベルを2ランクのクラスレベルを15に上昇させます。 2ランクの時のみ使用可能です。右クリックで使用します。
ITEM_20151022_007466	#4ランクのカード
ITEM_20151022_007467	#キャラクターのクラスレベルを3ランクのクラスレベルを15に上昇させます。 3ランクの時のみ使用可能です。右クリックで使用します。
ITEM_20151022_007468	#5ランクのカード
ITEM_20151022_007469	#キャラクターのクラスレベルを4ランクのクラスレベルを15に上昇させます。 4ランクの時のみ使用可能です。右クリックで使用します。
ITEM_20151022_007470	#6ランクのカード
ITEM_20151022_007471	#キャラクターのクラスレベルを5ランクのクラスレベルを15に上昇させます。 5ランクの時のみ使用可能です。右クリックで使用します。
ITEM_20151022_007472	#語ポメネーションのキューブ
ITEM_20151022_007473	#使用すると、何か知ることができないことを獲得することができそうです。右クリックで使用します。
ITEM_20151022_007474	#嫌なデスウィーバーのキューブ
ITEM_20151022_007475	#残るままフューリーションのキューブ
ITEM_20151022_007476	#大地のテンプルシューターのキューブ
ITEM_20151022_007477	#大地の缶ソリルのキューブ
ITEM_20151022_007478	#大地のアコンカグアのキューブ
ITEM_20151022_007479	#激しいケルベロスのキューブ
ITEM_20151022_007480	#騒がしいマインローダーのキューブ
ITEM_20151022_007481	#キューバスのキューブ
ITEM_20151022_007482	#ネクロベンダーのキューブ
ITEM_20151022_007483	#燃え盛る火ロードのキューブ
ITEM_20151022_007484	#怒りにチャオルンハルピアのキューブ
ITEM_20151022_007485	#記事ラククだけのキューブ
ITEM_20151022_007486	#マリオネットのキューブ
ITEM_20151022_007487	#デュラハンのキューブ
ITEM_20151022_007488	#エラがノースのキューブ
ITEM_20151022_007489	#シャドウが日露のキューブ
ITEM_20151022_007490	#大魔導士ファイアロードのキューブ
ITEM_20151022_007491	#周波数犬ケルベロスのキューブ
ITEM_20151022_007492	#マインローダーのキューブ
ITEM_20151022_007493	#オレンジハルピアのキューブ
ITEM_20151022_007495	#邪悪なネクロベンダーのキューブ
ITEM_20151022_007496	#モレクのキューブ
ITEM_20151022_007497	#デビルグローブの破片
ITEM_20151022_007498	#下級ジェム研磨剤
ITEM_20151022_007499	#中級ジェム研磨剤
ITEM_20151022_007500	#高度なジェム研磨剤
ITEM_20151022_007501	#最高級ジェム研磨剤
ITEM_20151022_007502	#ブルーオーブ：ケパ
ITEM_20151022_007503	#モンスターを召喚します。召喚されたモンスターは、味方になってのように戦闘をします。 180秒の間維持されます。右クリックで使用します。
