QUEST_LV_0200_20150317_000001	フィリパス直属部隊員
QUEST_LV_0200_20150317_000678	魔族の介入か…事態がだんだん大きくなる気がするな。{nl}今回のことが落ち着き次第、上も報告しなければ。{nl}フレイは自分でやると騒ぐはずだが、何だか悪い予感がする。レベルが違うというか…。
QUEST_LV_0200_20150317_000679	ハハ…君、スコットの言う通り本当にとんでもなく強いんじゃないか！{nl}ウッドスピリットをこんなに早く倒すとは思わなかった。{nl}おかげで一つ、借りができたな。本当にありがとう！今度また会おうな！
QUEST_LV_0200_20150317_000680	お願いがあります。{nl}この羽の欠片をニュオダー平原にいる隊長フクロウに届けてくれませんか？
QUEST_LV_0200_20150317_000681	この羽の欠片は勇敢なフクロウのものですね。{nl}実に辛くて悲しいことです…。
QUEST_LV_0200_20150317_000682	その欠片は私の友達の羽の欠片です。{nl}悲しいことに、モンスターに壊されてしまいました…。
QUEST_LV_0200_20150317_000683	お願いします。私の羽の欠片を他のフクロウたちに届けてください。{nl}まだ女神の力が少し残っていますので、きっと勇気付けられると思います。{nl}
QUEST_LV_0200_20150317_000684	これは隊長の羽の欠片…。{nl}ありがとうございます。もう一度頑張ってみます！
QUEST_LV_0200_20150317_000685	他のフクロウたちはコンピスカの丘とクローバー高原にいます。{nl}この力が少しでもお役に立てればと、私は信じています。
QUEST_LV_0200_20150317_000686	それは隊長の羽の欠片ではありませんか？{nl}
QUEST_LV_0200_20150317_000687	ああっ、気を付けてください。モンスターが押し寄せてきます！
QUEST_LV_0200_20150317_000688	巡察兵
QUEST_LV_0200_20150317_000689	もし火が消えた焚き火を見かけたら、火をつけてください。{nl}昼間とはいえ、ここは光が入ってこなくてかなり暗いですから。
QUEST_LV_0200_20150317_000690	焚き火に火の女神、ガビヤ様のご加護がありますように…。{nl}こう祈ればもっと長持ちしますよね？
QUEST_LV_0200_20150317_000691	巡礼者の追慕碑の内容
QUEST_LV_0200_20150317_000692	私は墓碑であり、癒しの手。{nl}私は彫刻家の手より不滅の記憶の象徴としてここに建てられた。{nl}
QUEST_LV_0200_20150317_000693	あなたの人生に光あれ。{nl}その人生に悲しみ無きよう。{nl}人生は刹那の連続であり、やがて時間はそのすべてを奪わん…。
QUEST_LV_0200_20150317_000694	個人的に必ず手に入れたい霊魂があるので、お願いできませんか？{nl}強い恨みを持っている霊魂なんですが。{nl}
QUEST_LV_0200_20150317_000695	彼の霊魂召喚に必要な二つの霊魂石はシャム双子の丘の弟の丘から手に入れることができます。{nl}是非お願いします。
QUEST_LV_0200_20150317_000696	昔は祭壇でしたが、今はただの廃墟にすぎません。{nl}人間の人生というのは…ああ、どうしてこんなにも虚しいのでしょうか。
QUEST_LV_0200_20150317_000697	おお、この美しい輝き。{nl}ええ、これで間違いありません。本当によく持ってきてくれました。
QUEST_LV_0200_20150317_000698	これを見てください。なんと哀れな…。{nl}霊魂石に閉じ込められているにも関わらず、あらゆる力を求めるなんて！{nl}でも、まだ本来の輝きを発揮していないようですね。{nl}
QUEST_LV_0200_20150317_000699	ですが、私が欲しいのは純粋な霊魂です。{nl}持ってきてくれた二つの霊魂石を聖物箱に入れて浄化してください。
QUEST_LV_0200_20150317_000700	一体どうしたら人間の魂があんな風になるのでしょう…{nl}今はただ神聖なものを汚す存在…。{nl}実に興味深いです。
QUEST_LV_0200_20150317_000701	この哀れな魂の彷徨もここで終わりになるでしょう。{nl}これは私が大事に保管します。{nl}ただの木くずにすぎない私の願いを聞いてくれて本当にありがとうございます。
QUEST_LV_0200_20150317_000702	聖物箱はシャム双子の丘の兄の丘の方にあります…。
QUEST_LV_0200_20150317_000703	この辺にいるキロネックスプチを見てみてください。本当に可愛いでしょう？{nl}実は私はこう思っているんです。{nl}こんなに可愛い子たちが凶暴になるには何か理由があると…。{nl}
QUEST_LV_0200_20150317_000704	キロネックスプチの光は、空中を彷徨う魂の記憶を吸収して放たれているそうです。{nl}そこで、キロネックスプチを集めてくれませんか？{nl}助けてあげたい霊魂があるのですが、そのためには魂の記憶を読み取る必要があるのです。
QUEST_LV_0200_20150317_000705	キロネックスプチって近づくと逃げてしまうんです。本当に可愛いでしょう？
QUEST_LV_0200_20150317_000706	このくらいあれば記憶を読むのに十分です。しばらく待っていてください。{nl}
QUEST_LV_0200_20150317_000707	この辺から霊魂たちの心が伝わってきます。{nl}骨風の絶壁、スジェティ渓谷、石塚の丘、デュオクルィ殿堂の方ですね。{nl}一ヵ所ずつ行って、確認してください。
QUEST_LV_0200_20150317_000708	未練の多い護衛兵の霊魂
QUEST_LV_0200_20150317_000709	奥方様を守らなければならないのに、一体どこにいらっしゃるんだ？{nl}どうにかしてモンスターから奥方様を守らなければ。{nl}しかし身体に力が入らない…。
QUEST_LV_0200_20150317_000710	奥方様は馬車が全部壊れたとしても前に進む方だから…。{nl}俺だけでもあの方を守らなければ！
QUEST_LV_0200_20150317_000711	どうにかして奥方様を守らなければ…。
QUEST_LV_0200_20150317_000712	未練の多い商人の霊魂
QUEST_LV_0200_20150317_000713	馬鹿な学者と使えない兵士のせいで俺がこんな目に遭うなんて…！{nl}俺の荷物がなくなってるのに、奥方様なんか心配してる場合じゃないだろ？
QUEST_LV_0200_20150317_000714	あんなに苦労したのに、手元に何も残ってないなんて…ムカつくな。
QUEST_LV_0200_20150317_000715	俺には自分の財産が何よりも大事だ！
QUEST_LV_0200_20150317_000716	未練の多い学者の霊魂
QUEST_LV_0200_20150317_000717	やっと救助隊が来たか？私を助けに来たんだろう？{nl}何？違うって？{nl}まさか奥方様が失敗したというのか？奥方様が危ない！{nl}
QUEST_LV_0200_20150317_000718	奥方様を助けるにはラパセイプに奪われた呪文書が必要だ。{nl}呪文書を奥方様に届けなければ…!!
QUEST_LV_0200_20150317_000719	私たちは臆病者だった。護衛兵と商人がやられている隙間を狙って逃げたのだ。{nl}彼らを助ける方法がなくて…。
QUEST_LV_0200_20150317_000720	痛恨の思いだ。{nl}あと少しの勇気があったなら…。
QUEST_LV_0200_20150317_000721	道に迷った女性探検家の霊魂
QUEST_LV_0200_20150317_000722	あの！助けてください！{nl}ふ～う、まさかこんな所で人に会えるなんて。{nl}
QUEST_LV_0200_20150317_000723	彫刻家の碑文を発見したと発表すれば、みんな私の一族をもう一度認めてくれるはずです！{nl}でも…足がまったく動かなくて…。{nl}発見した証拠として碑文の内容を記録しなきゃならないのに…。
QUEST_LV_0200_20150317_000724	そういえば…分かりません。自分が誰だか、どこから来たのか…。{nl}頭の中があの碑文のことでいっぱいで、何も思い出せません。
QUEST_LV_0200_20150317_000725	人間に見せるための追慕碑でしたが、その文章は霊魂まで癒す力が宿っていたようです。{nl}
QUEST_LV_0200_20150317_000726	切迫したフクロウの彫像
QUEST_LV_0200_20150317_000727	セルシシアの炎はその勢いだけでも、ボクたちフクロウには致命的な存在なんだ。{nl}あれがボクたちを燃やしちゃうかもしれない。{nl}そう考えるだけで苦しくてたまらないよ。
QUEST_LV_0200_20150317_000728	燃やされたくない。{nl}お願いだから助けて。
QUEST_LV_0200_20150317_000729	ありがとう。おかげで燃やされて死んじゃう心配はもう要らないね。{nl}セルシシアなんてもうコリゴリさ。
QUEST_LV_0200_20150317_000730	助けてください。私の力だけでは助けることができない霊魂たちがいます。{nl}ヌアプティ低地帯で彼らの亡骸を集めてきてくれませんか？
QUEST_LV_0200_20150317_000731	彼らは故郷に戻る途中でした。{nl}しかし多数のモンスターに襲われてしまい…。
QUEST_LV_0200_20150317_000732	丁寧に集めてきてくれましたね。{nl}これで彼らに安らぎを与えることができるといいのですが…。
QUEST_LV_0200_20150317_000733	ごめんさない。{nl}私の力不足で亡骸だけでは到底彼らの心を癒やすこそができませんでした。{nl}もしモンスターに取られてしまった遺品があれば話は別ですけど…。
QUEST_LV_0200_20150317_000734	4年前まではここはとても平和な森でした。{nl}今はモンスターと叫び続ける霊魂しかいない苦しみの森と化していますが…。
QUEST_LV_0200_20150317_000735	ありがとうございます。{nl}兵士たちも啓示者様にきっと感謝しているはずです。
QUEST_LV_0200_20150317_000736	お願いがあるのですが…{nl}私の導きについてきてくれた霊魂たちに一つ贈り物をしたいので、手伝っていただけませんか？{nl}蝶のお香と言って、疲れた霊魂たちに故郷の匂いを感じらせる不思議な草です。
QUEST_LV_0200_20150317_000737	故郷のことを思い出して嫌がる人はいないでしょう。{nl}私もたまに蝶のお香の匂いを嗅ぐと、彫像になる前の頃を思い出します。
QUEST_LV_0200_20150317_000738	本当にありがとうございます。{nl}これで彼らも安らかに眠ることができるでしょう。
QUEST_LV_0200_20150317_000739	もしよかったらいつか、慰めの庭園で彼らの冥福を祈ってください。
QUEST_LV_0200_20150317_000740	本当に心の温かい方ですね。{nl}蝶のお香は蝶の墓の茂みでのみ、見つけることができます。
QUEST_LV_0200_20150317_000741	私たちの仕事は霊魂がアウシュリネ女神のところに辿り着けるように、導くことです。{nl}しかし霊魂は増え続けているのに、女神がいらっしゃらなくて本当に困っています。{nl}
QUEST_LV_0200_20150317_000742	悲しいフクロウの彫像
QUEST_LV_0200_20150317_000743	助けてください！{nl}スローンウィーバーが私たち、フクロウを無差別に破壊しています。
QUEST_LV_0200_20150317_000744	モンスターは昔からいました。{nl}でも、首都の木々が暴走する時から私たちを無残に破壊し始めたのです。{nl}
QUEST_LV_0200_20150317_000745	本当にこの世界の終末が近づいてきたということなのでしょうか？
QUEST_LV_0200_20150317_000746	1枚…2枚…3枚…。{nl}いいですね！これなら十分です！
QUEST_LV_0200_20150317_000747	スローンウィーバーはサクモリーの根が大好物です。{nl}この二つが混ざっている匂いを嗅いだら、すぐ飛び出てくるはずです。
QUEST_LV_0200_20150317_000748	このくらいなら十分引き寄せると思います。
QUEST_LV_0200_20150317_000749	もう一度墓蜘蛛の巣へ行ってください。{nl}スローンウィーバーがエサの匂いを嗅いで押し寄せてきたら、その時確実に退治してください。
QUEST_LV_0200_20150317_000750	二度とフクロウの彫像を壊せないように、しっかりお仕置きしてください。
QUEST_LV_0200_20150317_000751	ありがとうございます。{nl}これで一安心ですね。
QUEST_LV_0200_20150317_000752	モンスターにとって私たちの魔力は貴重な養分になります。{nl}
QUEST_LV_0200_20150317_000753	しかし理由はそれだけではありません。{nl}私たちが霊魂を導いてはいけない、他の理由があるんじゃないかと思いました。{nl}
QUEST_LV_0200_20150317_000754	恥ずかしがり屋のフクロウの彫像
QUEST_LV_0200_20150317_000755	おかしなことが起きています。{nl}私が導いていた霊魂たちが急に動かなくなっています。{nl}
QUEST_LV_0200_20150317_000756	ネラスベ山麓で何かに足止めされているようですけど、ここにいる私にはよく分かりません。{nl}早く助けないと、霊魂たちが邪な気に染まってしまいます！
QUEST_LV_0200_20150317_000757	苦しんでいる霊魂たちが増えています。{nl}もうしかして、誰かがわざとこんなことを起こしているのでは…。
QUEST_LV_0200_20150317_000758	ありがとうございます。{nl}一体誰の仕業ですかね？
QUEST_LV_0200_20150317_000759	切ないフクロウの彫像
QUEST_LV_0200_20150317_000760	助けてください。{nl}最近、アモラルールの丘で霊魂たちが消えています。{nl}
QUEST_LV_0200_20150317_000761	お願いします。何か起きているのか突き止めたいのです。{nl}丘に向かっている霊魂を説得して、私の方に連れてきてください。{nl}
QUEST_LV_0200_20150317_000762	霊魂が消えるなんて、一体に何が起きているのですか…。{nl}{nl}
QUEST_LV_0200_20150317_000763	霊魂たちはアモラルールの丘にある女神像に呼ばれたと言っています。{nl}でもそこに女神像はないはず…。
QUEST_LV_0200_20150317_000764	きっと誰かの罠だと思います。{nl}アモラルールの丘を調べてください。
QUEST_LV_0200_20150317_000765	確かに女神像はないはずなのに、一体何に呼ばれたのでしょうか？{nl}
QUEST_LV_0200_20150317_000766	女神像を装ったモンスターなんて、霊魂たちが可哀そうです。{nl}これで霊魂たちも安らかに眠ることができます。すべて啓示者様のおかげです。
QUEST_LV_0200_20150317_000767	誰かがわざと霊魂たちを邪魔しているのなら、こんなことができるのは魔族しかいません。{nl}一体何のために自然の摂理に逆らうのでしょうか？
QUEST_LV_0200_20150317_000768	サクモリーは墓蜘蛛の巣の近くにいるはずです。
QUEST_LV_0200_20150317_000769	将校の魂
QUEST_LV_0200_20150317_000770	君、もしかして俺のことが見えるのか？{nl}それなら俺の頼みを聞いてくれ。{nl}俺たちの最後の任務を終わらせたいんだが、手を貸してくれる人が必要なんだ。{nl}{nl}
QUEST_LV_0200_20150317_000771	あのフクロウの彫像にも言ってみたが、ビクともしない。{nl}霊魂を導く存在と聞いたのにあんな冷たいとはな…。
QUEST_LV_0200_20150317_000772	ご苦労だったな。これなら十分だ。
QUEST_LV_0200_20150317_000773	今からこれを組んで人の形を作るつもりだ。{nl}…紫の泉にいるオールドケッピーのカサカサした皮がきっと使えそうだな。{nl}申し訳ないが、これも頼む。
QUEST_LV_0200_20150317_000774	もう長いこと、救われることもなく寂しく過ごしてきた。{nl}あのモンスターさえ倒してくれたら、俺の部下たちも救われるだろう。
QUEST_LV_0200_20150317_000775	オールドケッピーの皮は集めてきたか？{nl}これなら十分だろう。よし。
QUEST_LV_0200_20150317_000776	エサがある程度完成したな。{nl}悪いけど俺の代わりに遺制地の空き地にいるモンスターを相手に試してほしい。
QUEST_LV_0200_20150317_000777	もしエサに失敗したらすぐに逃げるんだぞ。{nl}君が俺と同じ目に遭っては困るからな。
QUEST_LV_0200_20150317_000778	これでエサは問題ない。{nl}グロビス十字路までついてきてくれ。
QUEST_LV_0200_20150317_000779	ついてきてくれてありがとう。{nl}ここにエルムの葉を加え、もっとそれらしく作れば完成だ。
QUEST_LV_0200_20150317_000780	ご苦労だった。ようやく恨みを晴らす時が来たな。
QUEST_LV_0200_20150317_000781	最後の頼みがある。{nl}グロビス十字路だ。このエサで俺たちの最後の任務を終わらせてくれ。
QUEST_LV_0200_20150317_000782	もし命の危険を感じたら、遠慮なく逃げてくれ。{nl}俺たちの恨みを晴らすために君を危険にさらすわけにはいかないからな。
QUEST_LV_0200_20150317_000783	ふう…これで俺も部下たちも安らかに眠ることができる。{nl}女神に会えたら君への祝福を頼んでおくよ。
QUEST_LV_0200_20150317_000784	ありがとう。本当に助かった。{nl}先に紫の泉にいるブッシュスパイダーから硬い木の足を集めてくれ。
QUEST_LV_0200_20150317_000785	さあね。俺もどうして自分がここに残っているのか分からない。{nl}俺たちを導いてくれるあのフクロウは何も言わないし…。{nl}
QUEST_LV_0200_20150317_000786	多分俺たちが最後まで果たせなかったことを成し遂げれば、{nl}女神のところへ行けるんじゃないかと思う。
QUEST_LV_0200_20150317_000787	あの人はとにかく心配性で…。{nl}だからデッドボーンじゃないって言ったのに。
QUEST_LV_0200_20150317_000788	サルティスタならいけると思います。{nl}万が一本当にデッドボーンなら、私は速攻逃げますけどね！
QUEST_LV_0200_20150317_000789	カーティン森でデッドボーンを見たという話は聞いたことありません。
QUEST_LV_0200_20150317_000790	カーティン森の入口を取り戻すのにどれだけ苦労したか…まさかデッドボーンまで現れるなんて思いもしませんでしたよ！
QUEST_LV_0200_20150317_000791	絶え間なく襲いかかってくるモンスターのせいで疲れが溜まっている。{nl}気味が、突破口を開いてくれたら、兵士の士気も上がると思うんだが。
QUEST_LV_0200_20150317_000792	他の部隊はどうなったか、ここでは知る方法もなくてもどかしいんだ。
QUEST_LV_0200_20150317_000793	ありがとう。これでしばらく安心できる。{nl}そうだ、もしロイという兵士に会えたら、復帰するようにと伝えてくれないか？
QUEST_LV_0200_20150317_000794	モンスターに包囲されてから、我々が何の手も打ってないわけではない。{nl}何とかしてこの状況を乗り越えようと偵察兵を送ったものの、一人も帰ってこないんだ。{nl}{NP}もしよかったら彼らの捜索を頼まれてくれないか？{nl}
QUEST_LV_0200_20150317_000795	今は一人一人が大事な状況だ。{nl}何事もなければいいか…。
QUEST_LV_0200_20150317_000796	実に頼もしい。{nl}彼らは上の方に行ったぞ。
QUEST_LV_0200_20150317_000797	ダニュス様に頼まれて来た方ですか？{nl}すでに手遅れです。他の仲間たちは全員やられてしまいました。
QUEST_LV_0200_20150317_000798	もうすぐモンスターたちが再び攻めてくるはずです。{nl}でも私は今すぐには動けなくて…。
QUEST_LV_0200_20150317_000799	欲を言えば部隊まで送っていただけると心強いですが、私も、一介の兵士。{nl}助けてくれた方にそこまで頼むわけにはいきません。{nl}命を助けてくれて本当にありがとうございます！
QUEST_LV_0200_20150317_000800	実は、生前にもよく使っていた方法なんだ。{nl}あの時もほとんど成功していた…。
QUEST_LV_0200_20150317_000801	すでに到着しているはずの補給部隊が遅れている。{nl}きっと何かあったはずだから、下の方で補給部隊を探してくれないか？
QUEST_LV_0200_20150317_000802	補給部隊さえ探してくれたら、この状況を何とかできそうだ。
QUEST_LV_0200_20150317_000803	後方部隊から来たんですか？{nl}遅れてしまって本当に申し訳ないです。{nl}
QUEST_LV_0200_20150317_000804	でも私たちももう力が尽きました。{nl}早く後方部隊のところへ行ってほしいなら、バラバラになった補給品を集める作業を手伝ってください。
QUEST_LV_0200_20150317_000805	補給品を持っていたら、あらゆるモンスターに襲われます。{nl}兵士がもっと必要ですけど、いくら増員を要請しても返事がありません。
QUEST_LV_0200_20150317_000806	お疲れ様でした。{nl}このくらいあれば、とりあえず最低限の量にはなりそうです。
QUEST_LV_0200_20150317_000807	まずはこの部隊がダニュスの部隊と合流するのが最優先かと思いますが仕方ありません。{nl}少しだけ休んですぐ合流しますので、食糧だけでも届けてください。
QUEST_LV_0200_20150317_000808	補給が遅れたのはこちらも申し訳ないと思っています。{nl}しかしほとんどの補給部隊の状況が…仕方ありません。
QUEST_LV_0200_20150317_000809	どうなったか？{nl}補給部隊はちゃんと来ているのか？{nl}
QUEST_LV_0200_20150317_000810	そうか。食糧でも先に届いたのは不幸中の幸いだな。{nl}ご苦労だった。{nl}
QUEST_LV_0200_20150317_000811	ダニュス様が帰還命令を？{nl}プラギのフックを全部集めるまで帰還することはできません。
QUEST_LV_0200_20150317_000812	帰還命令も大事ですが、任務の方がもっと大事です。{nl}命令の優先順位をつければこうするのが最善なんです。
QUEST_LV_0200_20150317_000813	助けてくれてありがとうございます。{nl}ところで、ダニュス様の部隊に帰還すればいいんですか？
QUEST_LV_0200_20150317_000814	もしやロイという兵士を見かけなかったか？{nl}
QUEST_LV_0200_20150317_000815	君が後方へと帰還させたということか。{nl}人手が足りないのに困ったな。君にもある程度の責任があるから、協力してもらうぞ。
QUEST_LV_0200_20150317_000816	ここの仕事は過酷だぞ。{nl}ロイはよくやってくれていた。少々の休息も必要だからな。
QUEST_LV_0200_20150317_000817	流石噂通りだな。{nl}
QUEST_LV_0200_20150317_000818	次の任務は失踪した偵察隊を見つけることだ。{nl}ラジギスの丘へ送ったのに、何時間も帰ってきていない。
QUEST_LV_0200_20150317_000819	分隊員たちは全員やられ、私もこの有様です。{nl}フィリパス様に返す報告書だけでも取り戻せたら…。
QUEST_LV_0200_20150317_000820	無能な私のせいで自分についてきた分隊員が全員亡くなりました。{nl}生き残ったのは私一人ですが、私もそう長くはないと思います…。
QUEST_LV_0200_20150317_000821	報告書は血で汚れてしまい、読むことができません。{nl}部下たちの努力が水の泡になるなんて、本当に辛いです。
QUEST_LV_0200_20150317_000822	最後のお願いを聞いてください。{nl}丘の上に部下たちの亡骸があるはずです。彼らの遺品を収集してもらえませんか？
QUEST_LV_0200_20150317_000823	部下たちがモンスターの中に放置されているのがあまりにも可哀そうで…。
QUEST_LV_0200_20150317_000824	ありがとうございます。{nl}部下たちも安らかに眠ることができると思います。{nl}
QUEST_LV_0200_20150317_000825	そういえば、部下たちの報告書で何とか読めるところがありました。{nl}急いでフィリパス様に間もなくモンスターたちが本隊を襲うと伝えてください。
QUEST_LV_0200_20150317_000826	…なるほど。偵察隊はもう手遅れだったか。{nl}彼らの勇気に敬意を示すと約束しよう。{nl}
QUEST_LV_0200_20150317_000827	ヨハンの報告通りなら、敵の背後から先に攻めた方がいいだろう。{nl}イズダギンカス街道で合流しよう。
QUEST_LV_0200_20150317_000828	復讐はじっくりと待ち、タイミングを狙ってやるべきだ。{nl}ヨハンと彼の部下たちのためにもな。
QUEST_LV_0200_20150317_000829	来たか。{nl}準備は？{nl}
QUEST_LV_0200_20150317_000830	戦いはもう始まっている。兵士たちはすでにイズダギンカス街道へ進入した。{nl}君が一緒に戦ってくれたら、きっと兵士にも大きな力になるだろう。
QUEST_LV_0200_20150317_000831	作戦が失敗することは絶対にない。{nl}ヨハンの部隊員に誓う。
QUEST_LV_0200_20150317_000832	ロイよりもよくやってくれたと思う。{nl}君がいなかったら、多くの兵士が無駄死にしたことになっていただろう。{nl}
QUEST_LV_0200_20150317_000833	これから君の進む道に女神の祝福あれ。
QUEST_LV_0200_20150317_000834	あのモンスターを倒さないままあの世に行くわけにはいかない。
QUEST_LV_0200_20150317_000835	この切ない気持ちはいつになったらなくなるんでしょうか…。{nl}霊魂を見ていると、いつか永遠の眠りについても、悪夢が続く気がします。
QUEST_LV_0200_20150317_000836	補給や支援が遅れるのはしょうがない。{nl}しかしこのまま耐えろということはあまりにも過酷すぎる。
QUEST_LV_0200_20150317_000837	またどこからモンスターが飛び出してくるか怖くて…。{nl}見たことのないモンスターが出てきたら、とりあえず逃げるつもりです。
QUEST_LV_0200_20150317_000838	足りない補給品を補充しているところです。{nl}補給が来ないなら、現地でなんとか調達するしかありませんね。
QUEST_LV_0200_20150317_000839	フィリパス様本隊だけでもなんとかなれば…。
QUEST_LV_0200_20150317_000840	実は元々利用していた道があったんだ。{nl}しかし木が爆発的に急成長したせいで、この有様になってしまった。{nl}
QUEST_LV_0200_20150317_000841	補給を順調に進めるために道を整備していたのだが…。{nl}モンスターに急襲されて孤立させられた上に、補給の知らせもない。兵士たちはやつれていく一方だ。
QUEST_LV_0200_20150317_000842	そうしてくれると本当に助かる。{nl}周りを包囲していたモンスターがいなくなれば、落ちた士気が上がるかもしれない。
QUEST_LV_0200_20150317_000843	もうすべてを終わらせて休みたい。{nl}でも部下たちのことを思うと…。
QUEST_LV_0200_20150317_000844	モンスターたちが私の仲間たちを容赦なく飲み込んでいます。{nl}首都の木が暴走する前まではこんなことなかったのに…。
QUEST_LV_0200_20150317_000845	彷徨う霊魂たちが増えています。{nl}急に消え去る霊魂も…。本当に怖いです。
QUEST_LV_0200_20150317_000846	まずは隠れてしまったスローンウィーバーを探さなければなりません。{nl}リディメッドの葉を集めてください。スローンウィーバーの大好物なので、きっと役に立つと思います。{nl}{nl}
QUEST_LV_0200_20150317_000847	よし。{nl}まずは丘の上にいるブルージャイアントグリバーを退治して敵の士気をくじくんだ。
QUEST_LV_0200_20150317_000848	ああ、無念だ。これじゃ、安らかに眠ることはできない。
QUEST_LV_0200_20150317_000849	お願いがあります。私の仲間たちを助けてください。{nl}早く救出しないと食べられてしまいます。
QUEST_LV_0200_20150317_000850	この十字路の端にモンスターたちの巣があります。{nl}お腹がいっぱいになってまだ食べられていない仲間がまだ残っているかもしれません。{nl}{nl}
QUEST_LV_0200_20150317_000851	ありがとうございます。{nl}仲間たちはこの十字路の端にある巣に連れていかれました。
QUEST_LV_0200_20150317_000852	イシュライ十字路で霊魂を導いていたフクロウの気配が感じられません。{nl}もしかしたらモンスターにやられてしまったんでしょうか…。
QUEST_LV_0200_20150317_000853	どうか何事も起こりませんように…。
QUEST_LV_0200_20150317_000854	モンスターの攻撃はだんだん激しくなっているのに、偵察に行った分隊からの連絡も途切れた。{nl}状況があまりよくない。
QUEST_LV_0200_20150317_000855	ありがとうございます。{nl}このまま永遠に眠ってしまうのではないかと思いました。{nl}
QUEST_LV_0200_20150317_000856	ちょっと分かりづらいな。{nl}リディア・シャッフェンとルクリスの間に何かがあるみたいが…とはいっても反逆者だろ？
QUEST_LV_0200_20150317_000857	破壊されていて読むことができない。
QUEST_LV_0200_20150317_000858	私たちは正体不明のモンスターを追いかけていました。{nl}デッドボーンでないといいのですが…何だか悪い予感がします。{nl}よかったら手伝ってくれませんか？
QUEST_LV_0200_20150317_000859	おかしいな。確かにデッドボーンを見た気がする…。{nl}どう思いますか？
QUEST_LV_0200_20150317_000860	啓示者様。どうか力を貸してください！{nl}現在サルティスタと対峙中ですが、私たちだけじゃ力不足です。
QUEST_LV_0200_20150317_000861	さすが、素晴らしいですね！{nl}指揮官バセニン様が会いたがっています。急いでキャンプの方に行きましょう。
QUEST_LV_0200_20150317_000862	兵士ルドルパス
QUEST_LV_0200_20150317_000863	いくら啓示者様といっても、ここはとても危険な地域です。{nl}早く安全な地域に行ってください。
QUEST_LV_0200_20150317_000864	私の言った通りでしょう。{nl}助けてくれたのは感謝しますが、早く戻ってください。
QUEST_LV_0200_20150317_000865	兵士アスパス
QUEST_LV_0200_20150317_000866	油断していました。{nl}モンスターたちが押し寄せてきたら、本当に大変な目に遭うかもしれません。
QUEST_LV_0200_20150317_000867	おかげで助かりました。{nl}他の仲間たちがどうなったか知っていますか？
QUEST_LV_0200_20150317_000868	ドミニクの婚約指輪はメリーチというモンスターが飲み込んでしまいました。{nl}確かに、失くしたのは私が悪いですけど…いくらなんでもこれはひどいです。
QUEST_LV_0200_20150317_000869	民間人が歩きまわるにはとても危険な場所です。{nl}安全なところに行ってください。
QUEST_LV_0200_20150317_000870	あなたの強さはよく分かりますが、ここを一人で歩き回るのは危険です。
QUEST_LV_0200_20150317_000871	怪我さえなければオルク様と隊員たちの力になれたはずなのに…。
QUEST_LV_0200_20150317_000872	ここはとても危険な所です。{nl}アイアンバウムもそうですし、ここまで凶暴なモンスターは初めてです。
QUEST_LV_0200_20150317_000873	未だに戻ってこない仲間が多いです。{nl}ここまで危険を冒しながら峡谷地帯までの道を進むべきかどうか…。
QUEST_LV_0200_20150317_000874	おかげで他の仲間たちは無事でした。{nl}まさかアイアンバウムを倒せるなんて想像もできませんでしたよ。
QUEST_LV_0200_20150317_000875	司教アウレリウスの霊魂
QUEST_LV_0200_20150317_000876	啓示者様…とても長い年月でした。{nl}あなたを案内するために数百年も待ち続けておりました。{nl}
QUEST_LV_0200_20150317_000877	この大聖堂は初代司教メイバーン様の巨大な遺産であり、啓示を実現できる聖地でもあります。{nl}しかし私はここから離れることができません。{nl}このままでは聖なる使命を遂行することが難しそうです。
QUEST_LV_0200_20150317_000878	とても長い年月を待ったかいがありました。{nl}私この有様ですが、本当に胸がいっぱいです。
QUEST_LV_0200_20150317_000879	これなら十分です。
QUEST_LV_0200_20150317_000880	霊魂のエキスを入れる器は経典がいいと思います。{nl}しかし不敬なことに、ファミルドゥ神廊の床に落ちているのです。{nl}
QUEST_LV_0200_20150317_000881	ただの霊魂ではありますが、女神に捧げた身。{nl}どうせなら私は魂ごと経典に宿りたいと思います。
QUEST_LV_0200_20150317_000882	儀式は終わりましたか？{nl}この経典がちゃんと私を呼び出すことができるか確認してください。
QUEST_LV_0200_20150317_000883	素晴らしいですね。{nl}それでは、啓示者様は大聖堂の秘密を解いて啓示を手に入れましょう。{nl}
QUEST_LV_0200_20150317_000884	もちろん多くの試練や苦難が伴うと思います。{nl}聖なる使命が啓示者様を精神的に追い詰めるかもしれません。{nl}
QUEST_LV_0200_20150317_000885	しかしこの世界と女神を救えるのはあなたしかいないのです…。{nl}こういう形でも、あなたと関われて幸せでした。
QUEST_LV_0200_20150317_000886	心配は要りません。私の魂を入れる器を完成すれば大丈夫です。{nl}まずは霊魂のエキスを集めてください。
QUEST_LV_0200_20150317_000887	そうそう、器を完成させる場所は安定の祭壇です。{nl}数百年を肉体のないまま過ごしてきたので、できれば傷のない経典でお願いします。
QUEST_LV_0200_20150317_000888	とても簡単です。{nl}啓示者様のインベントリにある霊魂の経典を使用してください。
QUEST_LV_0200_20150317_000889	司祭
QUEST_LV_0200_20150317_000890	大聖堂は知識の宝庫。{nl}もちろんナクティスの呪いを解く方法もあるはずです。{nl}
