QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20150317_005466	無念の兵士と会話
QUEST_LV_0100_20150317_005467	何だか落ち着きのない兵士が見えます。話しかけてみましょう。
QUEST_LV_0100_20150317_005468	古旗の森にいるモンスター退治
QUEST_LV_0100_20150317_005469	無念の兵士は自分の任務を思い出したのに、どうしても足が動かないと言います。無念の兵士の代わりに周辺のモンスターを退治し、任務を遂行してあげましょう。
QUEST_LV_0100_20150317_005470	無念の兵士の任務を終えました。無念の兵士に報告してください。
QUEST_LV_0100_20150317_005471	古旗の森のモンスター退治
QUEST_LV_0100_20150317_005472	雑用係と会話
QUEST_LV_0100_20150317_005473	急に雑用係が現れました。雑用係と話してみましょう。
QUEST_LV_0100_20150317_005474	フェディミアンにいる警備兵リッパーに手紙を届ける
QUEST_LV_0100_20150317_005475	雑用係はいつでも呼び出せるような人ではないようです。お詫びにフェディミアンの警備兵リッパーに雑用係の手紙を届けてください。
QUEST_LV_0100_20150317_005476	フェディミアンの警備兵リッパーに手紙を届け、お金を受け取りました。雑用係にお金を届けましょう。
QUEST_LV_0100_20150317_005477	食べ物をじっと見つめる傭兵リントがとても気の毒に思えました。傭兵リントと話してみてください。
QUEST_LV_0100_20150317_005478	傭兵リントに渡す食べ物を集める
QUEST_LV_0100_20150317_005479	傭兵リントはあなたが作っている食べ物が欲しいようです。傭兵リントに食べ物を分けてあげてください。作ってもいいし、買った物でも構いません。
QUEST_LV_0100_20150317_005480	傭兵リントに食べ物を渡す
QUEST_LV_0100_20150317_005481	傭兵リントはとても満足そうです。傭兵リントともう一度話してください。
QUEST_LV_0100_20150317_005482	%s獲得
QUEST_LV_0100_20150317_005483	将校リュダスはあなたのヒヨコのアクセサリーをじっと見つめています。将校リュダスと話してみてください。
QUEST_LV_0100_20150317_005484	虹の池のモンスター退治
QUEST_LV_0100_20150317_005485	将校リュダスは周辺のモンスターを退治すれば、それに見合ったアクセサリーをくれるそうです。虹の池にいるモンスターを退治してください。
QUEST_LV_0100_20150317_005486	虹の池にいる多くのモンスターたちを退治しました。将校リュダスに報告してください。
QUEST_LV_0100_20150317_005487	史学者コリーンと会話
QUEST_LV_0100_20150317_005488	苦い表情の史学者コリーンが見えます。史学者コリーンと話してみましょう。
QUEST_LV_0100_20150317_005489	祭文を燃やす
QUEST_LV_0100_20150317_005490	史学者コリーンはこの一帯を探検していて命を落とした者たちの慰霊をしたいようです。ムム高原の碑文の前で彼らを悼む祭文を燃やしてください。
QUEST_LV_0100_20150317_005491	史学者コリーンに報告
QUEST_LV_0100_20150317_005492	ムム高原の碑文の前で祭文を燃やしました。史学者コリーンのところへ戻り、報告してください。
QUEST_LV_0100_20150317_005493	練習用の木人形を修理する
QUEST_LV_0100_20150317_005494	練習用の木人形を修理するための材料を全て集めました。ハイランダーマスターの道場へ入り、練習用の木人形を修理してください。
QUEST_LV_0100_20150317_005495	練習用の木人形を修理するための材料を全て集めました。ハイランダーマスターの部屋へ入り、練習用の木人形を修理してください。
QUEST_LV_0100_20150317_005496	練習用の木人形を修理しました。ハイランダーマスターに報告してください。
QUEST_LV_0100_20150317_005497	クラペダにいるソードマンを訪ね、話をする
QUEST_LV_0100_20150317_005498	特性について聞く
QUEST_LV_0100_20150317_005499	特性を習得し、ソードマンマスターと会話する
QUEST_LV_0100_20150317_005500	ウィザードマスターと話してください
QUEST_LV_0100_20150317_005501	アーチャーマスターと話してください
QUEST_LV_0100_20150317_005502	青年妖術師オーウィンと会話
QUEST_LV_0100_20150317_005503	地図に表示された場所に、若い魔術師が立っています。協力者を探しているらしいので、行ってみましょう。
QUEST_LV_0100_20150317_005504	魔術師の塔を占領したピラコン退治
QUEST_LV_0100_20150317_005505	魔族に占領された魔術師の塔の奪還へ向けて努力している青年妖術師オーウィンのために周辺のモンスターを退治してください。
QUEST_LV_0100_20150317_005506	青年妖術師オーウィンに報告
QUEST_LV_0100_20150317_005507	オーウィンに頼まれたモンスター退治をを全て終えました。彼のところへ戻りましょう。
QUEST_LV_0100_20150317_005508	魔術師の塔1階を占領したピラコン退治
QUEST_LV_0100_20150317_005509	オーウィンの頼み
QUEST_LV_0100_20150317_005510	オーウィンがまた頼みたいことがあるようです。オーウィンと会話してみてください。
QUEST_LV_0100_20150317_005511	オーウィンはドレイク退治に苦労しているようです。オーウィンのために周辺のドレイクを退治してください。
QUEST_LV_0100_20150317_005512	オーウィンに報告
QUEST_LV_0100_20150317_005513	妖術師オーウィンの頼みを全て聞いてあげました。彼のところへ戻ってください。
QUEST_LV_0100_20150317_005514	コーデリアと会話
QUEST_LV_0100_20150317_005515	モンスターに占領された魔術師の塔1階でコーデリアが忙しく動いていました。コーデリアと話してみてください。
QUEST_LV_0100_20150317_005516	周辺のモンスターを退治して黒炭の粉獲得
QUEST_LV_0100_20150317_005517	コーデリアは黒炭の粉を欲しがっています。コーデリアのために周辺のモンスターから黒炭の粉を手に入れてください。
QUEST_LV_0100_20150317_005518	コーデリアに黒炭の粉を届ける
QUEST_LV_0100_20150317_005519	黒炭の粉を集めました。{nl}コーデリアともう一度話してください。
QUEST_LV_0100_20150317_005520	周辺のモンスターを退治して%s獲得
QUEST_LV_0100_20150317_005521	コーデリアは説明書を持ってあちこちを調べています。コーデリアともう一度話してください。
QUEST_LV_0100_20150317_005522	消えない火種収集
QUEST_LV_0100_20150317_005523	コーデリアは説明書をじっくり読み、モンスターの中にある消えない火種を集めてほしいと言いました。周辺のモンスターから消えない火種を集めてください。
QUEST_LV_0100_20150317_005524	コーデリアに消えない火種を届ける
QUEST_LV_0100_20150317_005525	消えない火種を全て集めました。{nl}コーデリアに届けてください。
QUEST_LV_0100_20150317_005526	%s獲得
QUEST_LV_0100_20150317_005527	さっき感じた不気味な振動についてコーデリアに尋ねましょう。
QUEST_LV_0100_20150317_005528	閲覧室の本棚調査
QUEST_LV_0100_20150317_005529	先ほど発生した振動について調べるために、{nl}閲覧室へ戻って本棚を調査してください。
QUEST_LV_0100_20150317_005530	コーデリアに報告
QUEST_LV_0100_20150317_005531	突如現れたギンクラスを退治しました。{nl}コーデリアに報告してください。
QUEST_LV_0100_20150317_005532	封印石と会話
QUEST_LV_0100_20150317_005533	大閲覧室からおかしな音が聞こえます。封印石と話してみましょう。
QUEST_LV_0100_20150317_005534	ブラインドレムとベレッグ退治
QUEST_LV_0100_20150317_005535	きれいな石を調べていたら自分の霊魂が封印されているのだと言い出しました。にわかには信じられませんが、頼まれたとおりブラインドレムとベレッグを退治してみましょう。
QUEST_LV_0100_20150317_005536	封印石と会話
QUEST_LV_0100_20150317_005537	ブラインドレムとベレッグを退治しました。{nl}封印石のところへ戻り、束縛された霊魂を解き放ってください。
QUEST_LV_0100_20150317_005538	ブラインドレム退治
QUEST_LV_0100_20150317_005539	ベレッグ退治
QUEST_LV_0100_20150317_005540	討論の場に封印石があります。助けを求めているようなので、話してみてください。
QUEST_LV_0100_20150317_005541	監視者ゴーレム退治
QUEST_LV_0100_20150317_005542	封印石は監視者を退治して霊魂を解き放ってほしいと言います。封印石の頼みを聞いてあげましょう。
QUEST_LV_0100_20150317_005543	ゴーレム退治に成功しました。封印石と話してみましょう。
QUEST_LV_0100_20150317_005544	監視者であるゴーレムを退治
QUEST_LV_0100_20150317_005545	封印石はまだ頼みたいことがあるようです。封印石と話してみましょう。
QUEST_LV_0100_20150317_005546	監視者ピラコン退治
QUEST_LV_0100_20150317_005547	封印石はこの他にもいくつかあるようです。監視者であるビッグスライムを退治し、他の封印石を探して話をしてみてください。
QUEST_LV_0100_20150317_005548	他の封印石と会話
QUEST_LV_0100_20150317_005549	監視者ビッグスライム退治
QUEST_LV_0100_20150317_005550	封印石が助けを求めているようです。封印石に話しかけてみましょう。
QUEST_LV_0100_20150317_005551	周辺のモンスターを退治して聖櫃の欠片獲得
QUEST_LV_0100_20150317_005552	封印石をそのまま解放してしまうと霊魂が散らばってしまうので、霊魂を収める聖櫃が必要なのだそうです。周辺のモンスターから聖櫃の欠片を集めてください。
QUEST_LV_0100_20150317_005553	封印石のところへ戻り、束縛された霊魂を解き放ってください。
QUEST_LV_0100_20150317_005554	執務室に封印石があります。話しかけてみましょう。
QUEST_LV_0100_20150317_005555	周辺のモンスターを退治して束縛を解く
QUEST_LV_0100_20150317_005556	封印石に囚われた霊魂は自由になりたいと訴えています。ブラインドレムとシャーマンドールを退治し、霊魂を束縛から解き放ってください。
QUEST_LV_0100_20150317_005557	ブラインドレムとシャーマンドールを退治しました。封印石のところへ戻り、霊魂を解き放ちましょう。
QUEST_LV_0100_20150317_005558	監視者ブラインドレム
QUEST_LV_0100_20150317_005559	監視者シャーマンドール
QUEST_LV_0100_20150317_005560	第1図書館に封印石が見えます。近寄って話しかけてみましょう。
QUEST_LV_0100_20150317_005561	監視者インフロラクター退治
QUEST_LV_0100_20150317_005562	封印石は自分は絶対に敵ではないので、監視者を退治してほしいと言います。封印石のためにインフロラクターを退治してください。
QUEST_LV_0100_20150317_005563	封印石に報告
QUEST_LV_0100_20150317_005564	封印石に頼まれたとおり、監視者インフロラクターを退治しました。封印石のところへ戻って話をしてみましょう。
QUEST_LV_0100_20150317_005565	封印石はまだ頼みたいことがあるようです。封印石と話してみましょう。
QUEST_LV_0100_20150317_005566	フォールンレムを退治して封印石の声獲得
QUEST_LV_0100_20150317_005567	封印石は自分の他の霊魂が声を失ったので、その声を取り戻してほしいと言います。フォールンレムが持っている封印石の声を集めてください。
QUEST_LV_0100_20150317_005568	封印石のところへ戻り、会話
QUEST_LV_0100_20150317_005569	封印石の声を全て集めました。封印石のところへ戻て声を返してあげましょう。
QUEST_LV_0100_20150317_005570	フォールンレムを退治して%s獲得
QUEST_LV_0100_20150317_005571	中央制御室に封印石があります。近寄って話しかけてみましょう。
QUEST_LV_0100_20150317_005572	封印石を侮辱したモンスター退治
QUEST_LV_0100_20150317_005573	封印石は自分を侮辱した魔物たちを退治してほしいそうです。封印石の代わりに封印石を侮辱した魔物たちを退治してください。
QUEST_LV_0100_20150317_005574	封印石を侮辱したモンスターを全て退治しました。封印石に報告してください。
QUEST_LV_0100_20150317_005575	フォールンレム退治
QUEST_LV_0100_20150317_005576	封印石の霊魂は封印石の束縛を解いてほしいようです。封印石と話してみましょう。
QUEST_LV_0100_20150317_005577	周辺のモンスターを退治して束縛の結晶獲得
QUEST_LV_0100_20150317_005578	封印石の霊魂は封印石の束縛から解放されたがっています。周辺のモンスターから束縛の結晶を集めて破壊してください。
QUEST_LV_0100_20150317_005579	束縛の結晶を全て集めて破壊しました。封印石のところへ戻り、報告してください。
QUEST_LV_0100_20150317_005580	怪しい机のところへ行く
QUEST_LV_0100_20150317_005581	接見室に怪しげな机があります。話しかければ応えるでしょうか？
QUEST_LV_0100_20150317_005582	ゴーレム退治
QUEST_LV_0100_20150317_005583	怪しい机が言っていたとおり、ゴーレムが背後を狙っていました。とりあえずゴーレムを退治した方が良いでしょう。
QUEST_LV_0100_20150317_005584	怪しい机と会話
QUEST_LV_0100_20150317_005585	とりあえず、危機を脱したようです。いやに礼儀正しい机ともう一度話してください。
QUEST_LV_0100_20150317_005586	グレーゴーレム退治
QUEST_LV_0100_20150317_005587	変異術師ファーリー・オッドと会話
QUEST_LV_0100_20150317_005588	休憩室に堂々とした雰囲気の女性魔術師がいます。話しかけてみましょう。
QUEST_LV_0100_20150317_005589	周辺のモンスターを退治して変異の媒質獲得
QUEST_LV_0100_20150317_005590	変異術師ファーリー・オッドによると、周辺のモンスターたちを効率的に退治するためには変異の媒質がもっと必要だそうです。周辺のモンスターから変異の媒質を手に入れてください。
QUEST_LV_0100_20150317_005591	変異術師ファーリー・オッドに変異の媒質を届ける
QUEST_LV_0100_20150317_005592	変異の媒質を全て集めました。ファーリー・オッドに変異の媒質を届けてください。
QUEST_LV_0100_20150317_005593	変異術師ファーリー・オッドはモンスターを倒しに行く前に、何か頼みたいことがあるようです。変異術師ファーリー・オッドともう一度話してください。
QUEST_LV_0100_20150317_005594	周辺のモンスターを退治して黒く固まった結晶獲得
QUEST_LV_0100_20150317_005595	ファーリー・オッドは第1機械室で会うときに黒く固まった結晶を持ってきてほしいと言います。周辺のモンスターから黒く固まった結晶を手に入れてください。
QUEST_LV_0100_20150317_005596	第1機械室の前で変異術師ファーリー・オッドに会う
QUEST_LV_0100_20150317_005597	黒く固まった結晶を入手しました。第1機械室の前でファーリー・オッドと合流してください。
QUEST_LV_0100_20150317_005598	変異術師ファーリー・オッドと機械室付近で会いました。ファーリー・オッドともう一度話してみてください。
QUEST_LV_0100_20150317_005599	ヒュージゾーレム退治
QUEST_LV_0100_20150317_005600	変異術師ファーリー・オッドは機械室の中でヒュージゾーレムを見たそうです。ファーリー・オッドが入り口のモンスターの相手をしている間にヒュージゾーレムを退治してください。
QUEST_LV_0100_20150317_005601	ヒュージゾーレムを無事退治しました。変異術師ファーリー・オッドのところへ行きましょう。
QUEST_LV_0100_20150317_005602	魔力安定化装置付近に封印石があります。近寄って話しかけてみましょう。
QUEST_LV_0100_20150317_005603	封印石は自分の束縛が早く解けるように付近のモンスターを倒してほしいと言います。封印石が全て解放されたら何が起こるのでしょうか？とりあえず、封印石に頼まれたとおり周辺のモンスターを退治してください。
QUEST_LV_0100_20150317_005604	封印石に頼まれた用事を終えたので、戻って束縛された霊魂を解き放ちましょう。
QUEST_LV_0100_20150317_005605	封印石のところへ行く
QUEST_LV_0100_20150317_005606	第2機械室に封印石があります。封印石と話してみましょう。
QUEST_LV_0100_20150317_005607	周辺の全てのモンスターを退治しました。封印石のところへ戻り、憑依された霊魂を解き放ちましょう。
QUEST_LV_0100_20150317_005608	サイマン・ショウと会話
QUEST_LV_0100_20150317_005609	小奇麗な紳士風の魔術師がモンスターと戦っています。魔術師サイマン・ショウと話してみてください。
QUEST_LV_0100_20150317_005610	ブラックドレイクを退治してフレイムチャーム回収
QUEST_LV_0100_20150317_005611	サイマン・ショウはモンスターとの戦いに全力を尽くしています。サイマン・ショウに力を貸して彼がモンスターに植えつけたフレイムチャームを回収してください。
QUEST_LV_0100_20150317_005612	サイマン・ショウにフレイムチャームを渡す
QUEST_LV_0100_20150317_005613	フレイムチャームを全て回収しました。サイマン・ショウに回収したフレイムチャームを渡してください。
QUEST_LV_0100_20150317_005614	ブラックドレイクを退治して%s獲得
QUEST_LV_0100_20150317_005615	サイマン・ショウは何かを見たようです。サイマン・ショウともう一度話してください。
QUEST_LV_0100_20150317_005616	周辺のモンスターを退治
QUEST_LV_0100_20150317_005617	サイマン・ショウはベアカリスを見たので、その後を追うつもりだと言います。サイマン・ショウがベアカリスを追っている間、押し寄せるモンスターたちを退治してください。
QUEST_LV_0100_20150317_005618	サイマン・ショウを探す
QUEST_LV_0100_20150317_005619	いくら待ってもサイマン・ショウが戻ってくる気配すらありません。彼がベアカリスを追って行った小会堂の方へ行ってみましょう。
QUEST_LV_0100_20150317_005620	ベアカリスを追って行ったサイマン・ショウはなんだかとても疲れているようです。サイマン・ショウと話をしてみましょう。
QUEST_LV_0100_20150317_005621	サイマン・ショウは自分の力ではとてもじゃないがベアカリスを退治できそうもないと言います。茫然自失のサイマン・ショウに代わってベアカリスを退治してください。
QUEST_LV_0100_20150317_005622	ベアカリスを退治しました。サイマン・ショウが安心できるように、退治したことを伝えてください。
QUEST_LV_0100_20150317_005623	これまで魔術師の塔を探索しながら封印石に封印された全ての霊魂たちを全て解き放ったならば、ケテュリード大会堂へ続く道の怪しいランプから最後の任務を受けられるはずです。
QUEST_LV_0100_20150317_005624	封印石の頼みを聞いてあげれば、魔術師の塔にいる全ての封印石に囚われた霊魂の正体も分かるはずです。封印石に頼まれたとおり、周辺を監視するモンスターたちを退治してください。
QUEST_LV_0100_20150317_005625	周辺のモンスターを全て退治しました。封印石のところへ戻ってください。
QUEST_LV_0100_20150317_005626	これまで魔術師の塔を探索しながら封印石に囚われた全ての霊魂たちを全て解き放ったならば、ケテュリード大会堂へ続く道の封印石から最後の任務を受けられるはずです。封印石と話してみましょう。
QUEST_LV_0100_20150317_005627	封印監視者ストーンホエール退治
QUEST_LV_0100_20150317_005628	ホーバークを守っていたストーンホエールが目覚めました。封印監視者ストーンホエールを退治してください。
QUEST_LV_0100_20150317_005629	封印石の封印解除
QUEST_LV_0100_20150317_005630	ホーバークのところへ戻って最後の霊魂を解き放ちましょう。
QUEST_LV_0100_20150317_005631	ストーンホエール退治
QUEST_LV_0100_20150317_005632	魔術師の塔5階で女神を探す
QUEST_LV_0100_20150317_005633	魔術師の塔5階で女神を探しましょう。
QUEST_LV_0100_20150317_005634	ヘルガ・セルクルが設置した魔力抑制機破壊
QUEST_LV_0100_20150317_005635	魔術師の塔5階のあちこちにヘルガ・セルクルが魔力抑制機を設置したようです。{nl}全て破壊してください。
QUEST_LV_0100_20150317_005636	魔術師の塔を占領したヘルガ・セルクルを見つけ出し、退治してください。
QUEST_LV_0100_20150317_005637	番人ギルバートと会話
QUEST_LV_0100_20150317_005638	銀水峡谷の番人たちが協力者を探しています。
QUEST_LV_0100_20150317_005639	グルーマーとジグナッツ退治
QUEST_LV_0100_20150317_005640	番人ギルバートはケーブルカーを壊したモンスターたちを退治してほしいようです。チョラスの曲がり道でモンスターを退治し、ギルバートに伝えましょう。
QUEST_LV_0100_20150317_005641	グルーマーとジグナッツを懲らしめました。{nl}ギルバートに報告しましょう。
QUEST_LV_0100_20150317_005642	ジグナッツ退治
QUEST_LV_0100_20150317_005643	グルーマー退治
QUEST_LV_0100_20150317_005644	パントを退治して歯車回収
QUEST_LV_0100_20150317_005645	番人ギルバートの話によると、ミエグィスタの丘にいるパントたちがケーブルカーの部品である歯車を盗んで行ったそうです。パントを退治して歯車を取り戻し、番人ギルバートに返してあげましょう。
QUEST_LV_0100_20150317_005646	番人ギルバートの予想通り、パントたちは歯車を持っていました。番人ギルバートに歯車を返してあげましょう。
QUEST_LV_0100_20150317_005647	パントを退治して%s回収
QUEST_LV_0100_20150317_005648	パント退治
QUEST_LV_0100_20150317_005649	レバーの金具を探す
QUEST_LV_0100_20150317_005650	ミエグィスタの丘にいるパントたちがケーブルカーの部品を盗んで草の山に隠しました。{nl}草の山でレバーを探してみましょう。
QUEST_LV_0100_20150317_005651	番人ギルバートの予想通り、草の山からレバーの金具が見つかりました。番人ギルバートのところに戻りましょう。
QUEST_LV_0100_20150317_005652	番人モリーと会話
QUEST_LV_0100_20150317_005653	パントベビーに高原ビートを与えてみる
QUEST_LV_0100_20150317_005654	番人モリーは自分が渡した高原ビートをパントベビーにあげると、パントベビーを誘惑できるはずだと言います。パントベビーに近寄って高原ビートを渡し、誘惑してください！
QUEST_LV_0100_20150317_005655	番人モリーの言ったとおり、高原ビートが大好きなパントベビーたちを誘惑しました。番人モリーに次の計画について聞いてみましょう。
QUEST_LV_0100_20150317_005656	番人マシューと会話
QUEST_LV_0100_20150317_005657	ケーブルカーの部品回収
QUEST_LV_0100_20150317_005658	番人マシューに、ネファビー陽地の破壊されたケーブルカー周辺でジグナッツが飲み込んだケーブルカーの部品を探してほしいと頼まれました。
QUEST_LV_0100_20150317_005659	番人マシューに頼まれて、ケーブルカーの部品を全て見つけました。番人マシューに届けましょう。
QUEST_LV_0100_20150317_005660	ジグナッツが飲み込んだ%s回収
QUEST_LV_0100_20150317_005661	ケーブルカーを脅かすポアタ退治
QUEST_LV_0100_20150317_005662	番人マシューはケーブルカーをまた壊すかもしれないポアタを退治してほしいと言います。{nl}マルガスの小山でポアタの巣を荒らしてポアタをおびき出し、ポアタを退治しましょう。
QUEST_LV_0100_20150317_005663	番人マシューの望みどおり、ポアタを退治しました。マシューに報告してください。
QUEST_LV_0100_20150317_005664	ポアタ退治
QUEST_LV_0100_20150317_005665	番人モリーと会話
QUEST_LV_0100_20150317_005666	番人モリーは自分の大胆な計画を手伝ってくれる人を探しています。
QUEST_LV_0100_20150317_005667	パントベビーたちを連れてカプリアのところへ行く
QUEST_LV_0100_20150317_005668	番人モリーはパントベビーたちを連れてカプリアのところへ行き、説得してみろと言います。でも誤解されずに上手くいくかは未知数です。スパルバーの三叉路を通ってノウル高原へ続く道でカプリアに会うことができます。
QUEST_LV_0100_20150317_005669	番人モリーの期待を裏切って、カプリアは自分の子供たちを見て腹を立てたようです。しかもカプリアまで倒しました。もうしばらく銀水峡谷に平和は訪れないだろうと番人モリーに正直に伝えましょう。
QUEST_LV_0100_20150317_005670	カプリア退治
QUEST_LV_0100_20150317_005671	パラディンマスターに会う
QUEST_LV_0100_20150317_005672	騎士団長ウスカは啓示で示された最上の花園というのはノウル高原一帯のことだろうから、そこにいるパラディンマスターを訪ねてみろと言いました。
QUEST_LV_0100_20150317_005673	番人バジルと会話
QUEST_LV_0100_20150317_005674	ノウル高原の番人バジルが協力者を探しています。
QUEST_LV_0100_20150317_005675	マリーの種収集
QUEST_LV_0100_20150317_005676	番人バジルはシャーマンドールを動かすのに必要な材料であるマリーの種を集めるのを手伝ってほしいと言います。マリーはラブレ街道周辺で見つかるそうです。
QUEST_LV_0100_20150317_005677	番人バジルに頼まれていたマリーの種を集めました。番人バジルのところへ戻りましょう。
QUEST_LV_0100_20150317_005678	マリーを退治して%s収集
QUEST_LV_0100_20150317_005679	番人モーリと会話
QUEST_LV_0100_20150317_005680	ノウル高原の番人モーリが協力者を探しています。
QUEST_LV_0100_20150317_005681	シャーマンドールでパント族のトーテム破壊
QUEST_LV_0100_20150317_005682	番人モーリがくれた召喚書を使って破壊のシャーマンドールを召喚し、パントトーテム周辺に連れて行ってください。そうすれば破壊のシャーマンドールがパントトーテムを破壊してくれます。
QUEST_LV_0100_20150317_005683	シーモフ退治
QUEST_LV_0100_20150317_005684	破壊用シャーマンドールと一緒にシーモフを退治してください。
QUEST_LV_0100_20150317_005685	バリオ山荘の丘にいるシーモフ退治
QUEST_LV_0100_20150317_005686	番人モーリに言われたとおり、トーテムを全て破壊しました。シーモフが隠れている場所を捜索し、シーモフを見つけましょう。
QUEST_LV_0100_20150317_005687	シャーマンドールと一緒にパントトーテムを壊し、隠れていたシーモフを退治しました。{nl}番人モーリに報告しましょう。
QUEST_LV_0100_20150317_005688	魔族の汚染地浄化
QUEST_LV_0100_20150317_005689	番人モーリがくれた召喚書を使って浄化用のシャーマンドールを召喚し、ラブレ街道へ連れて行ってください。人には気付けない魔族の汚染地をシャーマンドールが見つけてくれます。
QUEST_LV_0100_20150317_005690	凶暴化したカーニバー退治
QUEST_LV_0100_20150317_005691	番人モーリからついでに頼まれた魔族の汚染の影響で凶暴化したカーニバーを退治してください。
QUEST_LV_0100_20150317_005692	パシュリマ平原にいる凶暴化したカーニバー退治
QUEST_LV_0100_20150317_005693	シャーマンドールと汚染地を取り除き、カーニバーも退治しました。{nl}番人モーリに報告しましょう。
QUEST_LV_0100_20150317_005694	儀式用の縄収集
QUEST_LV_0100_20150317_005695	番人バジルによると、森番の小屋にいるパントたちがシャーマンドールの復元に必要な儀式用の縄を持ち去ったそうです。話が通じないようなら力ずくで奪えと言われたところを見ると、力仕事が多くなりそうな気がします。
QUEST_LV_0100_20150317_005696	少々の実力行使の末に、儀式用の縄を集めました。番人バジルに届けましょう。
QUEST_LV_0100_20150317_005697	パントシャーマンを退治して%s獲得
QUEST_LV_0100_20150317_005698	儀式用ロープの収集
QUEST_LV_0100_20150317_005699	霊力の宿ったたてがみ収集
QUEST_LV_0100_20150317_005700	番人バジルはトゥスティンティー高原にいるマッシュカリアを狩って霊力の宿ったたてがみを持って来てほしいようです。
QUEST_LV_0100_20150317_005701	マッシュカリアを倒して霊力の宿ったたてがみを獲得しました。番人バジルに届けましょう。
QUEST_LV_0100_20150317_005702	マッシュカリアを退治して%s獲得
QUEST_LV_0100_20150317_005703	霊力の宿ったたてがみ獲得
QUEST_LV_0100_20150317_005704	女神サウレと会話
QUEST_LV_0100_20150317_005705	拘束されている女性は女神サウレでした。女神サウレと話してみましょう。
QUEST_LV_0100_20150317_005706	拘束の魔法陣破壊
QUEST_LV_0100_20150317_005707	女神は魔族に拘束され、力を使えない状態だと言います。ドルキスの中庭とボブスバの空き地で女神を拘束している拘束の魔法陣を破壊してください。
QUEST_LV_0100_20150317_005708	拘束の魔方陣を2つ破壊しました。{nl}女神サウレと話してみましょう。
QUEST_LV_0100_20150317_005709	大神壇の結界確認
QUEST_LV_0100_20150317_005710	結界に阻まれて女神の元へ近付くことができません。大神壇の結界を調査してみてください。
QUEST_LV_0100_20150317_005711	女神を拘束している魔族退治
QUEST_LV_0100_20150317_005712	結界が消えると、魔族に拘束されている誰かが見えました。とりあえず、目の前に現れたハーピアを退治してください。
QUEST_LV_0100_20150317_005713	女性と会話
QUEST_LV_0100_20150317_005714	女性を拘束していた魔族を退治しました。女性は神聖さと巨大な力を兼ね備えているようです。女性と話してみてください。
QUEST_LV_0100_20150317_005715	ハーピア退治
QUEST_LV_0100_20150317_005716	ドルキスの中庭の拘束の魔方陣確認
QUEST_LV_0100_20150317_005717	ドルキスの中庭に闇の気を吐き出す拘束の魔方陣があります。魔族たちが設置したもののようなので、調べてみましょう。
QUEST_LV_0100_20150317_005718	ボブスバの空き地の拘束の魔方陣確認
QUEST_LV_0100_20150317_005719	ボブスバの空き地に闇の気を吐き出す拘束の魔方陣があります。魔族たちが設置したもののようなので、調べてみましょう。
QUEST_LV_0100_20150317_005720	マージ退治
QUEST_LV_0100_20150317_005721	女神サウレを圧迫していた拘束の魔方陣を解きましたが、それだけでは足りないようです。女神サウレともう一度話してください。
QUEST_LV_0100_20150317_005722	大回廊で儀式の道具収集
QUEST_LV_0100_20150317_005723	女神サウレによると、監視者クライメンは次元の隙間の中に隠れてしまい、力を失っている状態の自分では探すことができないそうです。女神サウレに力を与えるため、大回廊で儀式の道具を探しましょう。
QUEST_LV_0100_20150317_005724	女神サウレを開放する
QUEST_LV_0100_20150317_005725	女神サウレに力を与える儀式の道具を見つけました。女神サウレに届けてください。
QUEST_LV_0100_20150317_005726	女神サウレが魔族を見つけるのを手助けする準備が整いました。女神サウレと話してみましょう。
QUEST_LV_0100_20150317_005727	周辺のモンスターを退治
QUEST_LV_0100_20150317_005728	女神サウレによると、周辺の魔族を退治すればクライメンを探しやすくなるそうです。周辺のモンスターを退治して魔気を抑えましょう。
QUEST_LV_0100_20150317_005729	女神サウレがクライメンを見つけたようです。{nl}女神サウレのところへ戻ってください。
QUEST_LV_0100_20150317_005730	大神壇付近のモンスター退治
QUEST_LV_0100_20150317_005731	魔族の結界解除
QUEST_LV_0100_20150317_005732	女神サウレが儀式の道具から力を引き出すのに成功し、鍵を持つ魔族のいる結界を見つけ出しました。鍵を持つ魔族が隠れている結界を解除してください。
QUEST_LV_0100_20150317_005733	鍵を持つ魔族を退治し、女神サウレを解放する
QUEST_LV_0100_20150317_005734	女神サウレが儀式の道具から力を引き出すのに成功し、鍵を持つ魔族のいる結界を見つけ出しました。結界の中に現れた魔族を退治して鍵を獲得してください。
QUEST_LV_0100_20150317_005735	女神サウレの拘束具を解く鍵を見つけました。鍵を持って女神サウレのところへ戻ってください。
QUEST_LV_0100_20150317_005736	女神サウレの拘束具解除
QUEST_LV_0100_20150317_005737	魔族から手に入れた鍵で女神サウレの拘束具を解いてください。
QUEST_LV_0100_20150317_005738	女神サウレが完全に解放されました。{nl}さぁ、女神サウレと話してみましょう。
QUEST_LV_0100_20150317_005739	ブランブルを退治して啓示を手に入れました。女神サウレのところへ戻ってください。
QUEST_LV_0100_20150317_005740	啓示の内容はジャカリエルの王陵へ行けというものでした。女神と話してみましょう。
QUEST_LV_0100_20150317_005741	青河の地一帯でポータル捜索
QUEST_LV_0100_20150317_005742	パラディンマスターの話によると、啓示にある彩りの渓谷というのは青河の地一帯を指しているようです。啓示の内容に従って青河の地へ行ってみましょう。
QUEST_LV_0100_20150317_005743	タヌーの浄化石収集
